Key Management,Implementation Support (e.g. Libraries) / Active Community,IPR Policy,Specification,Infrastructure for Key Resolution,Key Rotation,Key History,Party
Glossary,How complex is the implementation? Which/How many useful software libraries available?,What is the policy regarding intellectual properties associated with this technology? ,Where is the key management specified?,Is there any infrastructure required to resolve keys and/or validate identifier to key binding,Can the key refered to in a credential be replaced by another key?,Is it possible to retain and obtain the history of keys related to a certain identifier?,What party may uses this technique?
raw public keys (jwk),https://www.rfc-editor.org/rfc/rfc7517,https://trustee.ietf.org/documents/trust-legal-provisions/,https://www.rfc-editor.org/rfc/rfc7517,none,no,conditional (with OpenID Connect Federation Key History),"holder, issuer"
link secrets,tbd,tbd,tbd,none,no,no,holder
did:indy,https://hyperledger.github.io/indy-did-method/,tbd,tbd,dlt,yes,yes,issuer
did:ion (long form),https://github.com/decentralized-identity/ion,tbd,tbd,none,no,no,"holder, issuer"
did:ion (short form),tbd,tbd,tbd,yes,yes,yes,issuer
did:key,https://w3c-ccg.github.io/did-method-key/,tbd,tbd,none,no,no,"holder, issuer"
did:peer,https://identity.foundation/peer-did-method-spec/index.html,tbd,tbd,tbd,tbd,tbd,holder
did:ebsi,https://ec.europa.eu/digital-building-blocks/wikis/display/EBSIDOC/EBSI+DID+Method,tbd,tbd,dlt,yes,yes(?),issuer
KERI,https://weboftrust.github.io/did-keri/,tbd,tbd,witness network,yes,yes,"holder, issuer"
did:keri,https://weboftrust.github.io/did-keri/,tbd,tbd,witness network,yes,yes,"holder, issuer"
did:web,https://github.com/w3c-ccg/did-method-web,tbd,tbd,web server,yes,no,"holder, issuer"
raw public keys (none jwk),tbd,tbd,tbd,none,no,no,"holder, issuer"
credential as secret,tbd,tbd,tbd,none,no,no,holder
jwks_uri,tbd,tbd,tbd,web server,yes,conditional (with OpenID Connect Federation Key History),issuer
did:jwk,,,,,,,"holder, issuer"
cose key,https://www.rfc-editor.org/rfc/rfc9052.html,,,,,,
pub key in X.509 cert,,,,,,,
did:ebsinp,,,,,,,
,,,,,,,
,>>> NEW LINES ONLY IN THE 2 LINE AREA ABOVE!,,,,,,
