Signing Algorithm,Implementation Support (e.g. Libraries) / Active Community,IPR Policy,Specification,"Standardization (Body, Process)",Technology Readiness Level,"Recognition by government authorities (NIST, BSI, ...)",Performance,Hardware support,Unlinkability/Uncorrelatability/Blind signatures possible,Security strength,Post-quantum security
Glossary,How complex is the implementation? Which/How many useful software libraries available?,What is the policy regarding intellectual properties associated with this technology? ,Where is the signature algorithm specified?,Under which Standardization Body and which standards track/status is the signing algorithm standardized?,According to NASA-Scheme (http://www.artemisinnovation.com/images/TRL_White_Paper_2004-Edited.pdf),Is the signing algorithm recognized in regulatory frameworks of leading government bodies?,How performant is the signing algorithm?,"Is the Signing Algorithm supported by common hardware-backed cryptographic implementations, such as Secure Elements, SecureEnclave, HSM, Strongbox, TEE, TPM","Is the Signing Algorithm capable of creating a credential scheme, such that two verification processes can not be linked/correlated by colluding Verifiers/Relying Parties",What level of security strength is common and standardized for this signing algorithm?,Is the Signing Algorithm still secure if quantum computing achieves substantial computation power?
CL,"Hyperledger Ursa, https://github.com/privacybydesign/gabi ",tbd,"CL-Signatures of there own do not have a formal specification, that is included in Anoncreds",none,some,not acknowledged (indendent crypto analysis published),Ursa: up to 7 seconds for a validation and approximately 30 seconds for credential definition generation; IRMA (Yivi): both in less than a second,no,yes,equivalent to RSA2048,no
BBS+ with public key binding,https://github.com/mattrglobal/bbs-signatures,tbd,https://datatracker.ietf.org/doc/draft-looker-cfrg-bbs-signatures/,DIF (intention to transfer to IRTF CFRG),tbd,not acknowledged,tbd,no,no,381 bit curve,no
BoundBBS+,tbd,barely,,DIF (intention to transfer to IRTF CFRG),tbd,not acknowledged,tbd,no,yes,tbd,no
ECDSA,many mature implementations,tbd,X9.62-2005,ANSI,TRL 9,yes,tbd,yes,no,256 / 384 / 512 bit,no
EdDSA,many mature implementations,tbd,tbd,tbd,tbd,"widely accepted, though still behind ECDSA",high,very little,no,257 / 384 / 512 bit,no
RSA,many mature implementations,tbd,tbd,tbd,TRL 9,"yes, but support is fading",tbd,yes,no,2048 / 3072 / 4096 (scales bad),no
Schnorr,many mature implementations,patents expired,different curves-different specs,different curves-different standards,TRL 9,NIST with Curve25519,high,no (maybe coming),limited,tbd,no
,,,,,,,,,,,
,,,,,,,,,,,
,>>> NEW LINES ONLY IN THE 2 LINE AREA ABOVE!,,,,,,,,,,
